unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
886,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Independent,Not Sure,Female,35-44,African American
887,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,0,Jobs,No quote,No issue,Weak Democrat,Moderate,Male,65 or over,White/Caucasian
888,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,5,Immigration,We win,Top issue,Weak Republican,Conservative,Female,65 or over,White/Caucasian
889,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,2,Environment,We win,No issue,Independent,Moderate,Female,25-34,African American
890,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,2,Environment,We win,No issue,Weak Republican,Conservative,Female,45-54,White/Caucasian
891,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,3,Social security,No quote,Top issue,Weak Democrat,Moderate,Female,55-64,White/Caucasian
892,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,0,Education,No quote,No issue,Not sure,Not Sure,Female,25-34,White/Caucasian
893,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Lean Democrat,Liberal,Female,45-54,White/Caucasian
894,NA,3,NA,NA,NA,NA,1,NA,NA,NA,-3----1---,8,Health care,We win,3rd issue,Strong Democrat,Moderate,Female,25-34,White/Caucasian
895,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,3,National security,No quote,Top issue,Lean Republican,Conservative,Female,65 or over,White/Caucasian
896,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,5,National security,We win,Top issue,Weak Republican,Conservative,Male,65 or over,White/Caucasian
897,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,6,National security,No quote,3rd issue,Strong Republican,Conservative,Female,45-54,White/Caucasian
898,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,4,Social security,They lose,Top issue,Lean Republican,Moderate,Male,45-54,White/Caucasian
899,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,0,National security,No quote,No issue,Weak Democrat,Liberal,Female,25-34,White/Caucasian
900,NA,NA,1,NA,NA,NA,3,NA,NA,NA,--1---3---,6,Drug addiction,No quote,3rd issue,Strong Democrat,Very Conservative,Female,35-44,African American
901,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,6,Education,No quote,3rd issue,Not sure,Not Sure,Female,25-34,White/Caucasian
902,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,0,Health care,No quote,No issue,Weak Democrat,Liberal,Female,55-64,White/Caucasian
903,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,7,Jobs,They lose,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
904,NA,NA,NA,NA,1,NA,NA,3,NA,NA,----1--3--,3,Crime,No quote,Top issue,Lean Democrat,Conservative,Male,35-44,White/Caucasian
905,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,6,Health care,No quote,3rd issue,Strong Republican,Very Conservative,Female,65 or over,White/Caucasian
906,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,3,Health care,No quote,Top issue,Independent,Moderate,Female,25-34,White/Caucasian
907,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,6,Health care,No quote,3rd issue,Independent,Not Sure,Female,45-54,White/Caucasian
908,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,0,National security,No quote,No issue,Lean Republican,Conservative,Male,65 or over,White/Caucasian
909,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,6,Social security,No quote,3rd issue,Weak Republican,Conservative,Female,35-44,White/Caucasian
910,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,5,National security,We win,Top issue,Strong Republican,Moderate,Female,65 or over,White/Caucasian
911,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,2,Drug addiction,We win,No issue,Lean Republican,Not Sure,Male,35-44,Other
912,NA,NA,NA,NA,NA,NA,1,NA,3,NA,------1-3-,8,Terrorism,We win,3rd issue,Strong Democrat,Liberal,Female,55-64,African American
913,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,8,Immigration,We win,3rd issue,Independent,Moderate,Female,25-34,Asian
914,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,6,National security,No quote,3rd issue,Strong Republican,Moderate,Female,55-64,White/Caucasian
915,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,0,National security,No quote,No issue,Lean Democrat,Moderate,Male,55-64,White/Caucasian
916,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,8,Jobs,We win,3rd issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
917,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,3,Health care,No quote,Top issue,Strong Democrat,Very Conservative,Female,35-44,African American
918,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,1,Immigration,They lose,No issue,Lean Republican,Moderate,Female,55-64,White/Caucasian
919,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,8,Terrorism,We win,3rd issue,Independent,Conservative,Male,35-44,Hispanic
920,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,3,Health care,No quote,Top issue,Strong Democrat,Liberal,Male,65 or over,White/Caucasian
921,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,8,Jobs,We win,3rd issue,Lean Democrat,Moderate,Male,35-44,White/Caucasian
922,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,7,Education,They lose,3rd issue,Weak Democrat,Liberal,Female,65 or over,White/Caucasian
923,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,8,National security,We win,3rd issue,Strong Democrat,Moderate,Male,55-64,White/Caucasian
924,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,5,Social security,We win,Top issue,Weak Democrat,Moderate,Female,55-64,White/Caucasian
925,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,6,National security,No quote,3rd issue,Lean Democrat,Very Liberal,Female,35-44,White/Caucasian
926,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,6,Terrorism,No quote,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
927,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,8,Environment,We win,3rd issue,Strong Democrat,Liberal,Male,65 or over,Hispanic
928,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,2,Jobs,We win,No issue,Lean Democrat,Liberal,Female,45-54,White/Caucasian
929,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,---1------,5,Jobs,We win,Top issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
930,NA,NA,NA,NA,NA,NA,NA,1,3,NA,-------13-,3,Social security,No quote,Top issue,Independent,Moderate,Female,65 or over,White/Caucasian
931,NA,NA,NA,NA,NA,NA,3,1,NA,NA,------31--,4,Social security,They lose,Top issue,Lean Republican,Conservative,Female,65 or over,White/Caucasian
932,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,--1-------,4,Education,They lose,Top issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
933,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,5,Jobs,We win,Top issue,Strong Democrat,Very Liberal,Female,55-64,White/Caucasian
934,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,7,Environment,They lose,3rd issue,Strong Republican,Very Conservative,Female,18-24,White/Caucasian
935,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,7,Environment,They lose,3rd issue,Independent,Liberal,Female,35-44,White/Caucasian
936,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,4,Health care,They lose,Top issue,Independent,Liberal,Female,35-44,White/Caucasian
937,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,2,Immigration,We win,No issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
938,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,3,Immigration,No quote,Top issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
939,NA,NA,NA,NA,3,1,NA,NA,NA,NA,----31----,2,Immigration,We win,No issue,Independent,Moderate,Female,65 or over,White/Caucasian
940,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,0,National security,No quote,No issue,Independent,Conservative,Female,65 or over,White/Caucasian
941,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,7,Health care,They lose,3rd issue,Lean Democrat,Moderate,Female,65 or over,White/Caucasian
942,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,2,National security,We win,No issue,Strong Republican,Conservative,Female,35-44,White/Caucasian
943,NA,NA,NA,NA,NA,NA,1,NA,3,NA,------1-3-,1,Terrorism,They lose,No issue,Weak Democrat,Moderate,Female,55-64,White/Caucasian
944,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,3,Social security,No quote,Top issue,Strong Democrat,Moderate,Female,65 or over,African American
945,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,2,Social security,We win,No issue,Independent,Moderate,Female,65 or over,White/Caucasian
946,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,1,Education,They lose,No issue,Strong Republican,Very Conservative,Female,18-24,Asian
947,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,8,Terrorism,We win,3rd issue,Lean Democrat,Moderate,Male,65 or over,White/Caucasian
948,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,6,Social security,No quote,3rd issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
949,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,4,Environment,They lose,Top issue,Weak Democrat,Liberal,Female,18-24,White/Caucasian
950,NA,NA,NA,NA,NA,NA,3,NA,NA,1,------3--1,3,Environment,No quote,Top issue,Not sure,Not Sure,Female,35-44,White/Caucasian
951,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,0,Social security,No quote,No issue,Not sure,Not Sure,Female,35-44,White/Caucasian
952,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,0,Jobs,No quote,No issue,Not sure,Not Sure,Female,45-54,Hispanic
953,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,0,Jobs,No quote,No issue,Not sure,Not Sure,Male,45-54,White/Caucasian
954,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,3,National security,No quote,Top issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
955,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,4,Jobs,They lose,Top issue,Not sure,Not Sure,Male,35-44,White/Caucasian
956,NA,NA,NA,NA,NA,NA,NA,1,3,NA,-------13-,5,Social security,We win,Top issue,Lean Democrat,Moderate,Female,25-34,Hispanic
957,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,2,National security,We win,No issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
958,NA,3,NA,NA,NA,NA,1,NA,NA,NA,-3----1---,8,Health care,We win,3rd issue,Independent,Moderate,Female,25-34,White/Caucasian
959,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,1,Education,They lose,No issue,Lean Republican,Moderate,Male,18-24,African American
960,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,8,Health care,We win,3rd issue,Lean Republican,Moderate,Female,25-34,White/Caucasian
961,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,0,Education,No quote,No issue,Strong Democrat,Very Liberal,Female,35-44,White/Caucasian
962,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Strong Republican,Liberal,Female,35-44,White/Caucasian
963,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,8,National security,We win,3rd issue,Independent,Conservative,Male,55-64,White/Caucasian
964,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,5,Environment,We win,Top issue,Independent,Very Liberal,Male,55-64,White/Caucasian
965,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,3,Immigration,No quote,Top issue,Weak Republican,Very Conservative,Male,65 or over,White/Caucasian
966,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,4,Jobs,They lose,Top issue,Strong Democrat,Very Conservative,Male,45-54,African American
967,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,5,National security,We win,Top issue,Strong Democrat,Liberal,Female,35-44,White/Caucasian
968,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,2,Education,We win,No issue,Independent,Moderate,Female,55-64,White/Caucasian
969,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,0,Education,No quote,No issue,Weak Republican,Conservative,Female,65 or over,White/Caucasian
970,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,8,Environment,We win,3rd issue,Strong Democrat,Very Liberal,Male,55-64,White/Caucasian
971,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,5,Health care,We win,Top issue,Strong Democrat,Liberal,Female,55-64,White/Caucasian
972,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,7,Immigration,They lose,3rd issue,Strong Democrat,Liberal,Female,35-44,White/Caucasian
973,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,7,Environment,They lose,3rd issue,Strong Democrat,Very Liberal,Female,55-64,White/Caucasian
974,NA,NA,NA,NA,NA,3,NA,NA,NA,1,-----3---1,3,Environment,No quote,Top issue,Strong Democrat,Liberal,Female,55-64,White/Caucasian
975,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,6,Jobs,No quote,3rd issue,Lean Republican,Moderate,Female,25-34,White/Caucasian
976,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,6,Terrorism,No quote,3rd issue,Lean Republican,Conservative,Male,45-54,White/Caucasian
977,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,0,National security,No quote,No issue,Strong Republican,Conservative,Male,65 or over,White/Caucasian
978,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,0,Health care,No quote,No issue,Strong Democrat,Very Liberal,Female,25-34,White/Caucasian
979,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,6,Health care,No quote,3rd issue,Independent,Liberal,Female,25-34,White/Caucasian
980,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,6,Health care,No quote,3rd issue,Lean Democrat,Moderate,Female,35-44,African American
981,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,6,Social security,No quote,3rd issue,Lean Democrat,Moderate,Male,45-54,White/Caucasian
982,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,1,Environment,They lose,No issue,Independent,Conservative,Female,25-34,White/Caucasian
983,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Independent,Moderate,Male,65 or over,White/Caucasian
984,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,1,National security,They lose,No issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
985,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Jobs,No quote,No issue,Lean Republican,Moderate,Male,35-44,Asian
986,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,0,Jobs,No quote,No issue,Lean Democrat,Liberal,Female,25-34,White/Caucasian
987,NA,NA,NA,3,NA,NA,NA,NA,1,NA,---3----1-,4,Terrorism,They lose,Top issue,Independent,Moderate,Male,35-44,White/Caucasian
988,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,0,Health care,No quote,No issue,Lean Democrat,Liberal,Female,35-44,White/Caucasian
989,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,5,Environment,We win,Top issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
990,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,6,Drug addiction,No quote,3rd issue,Weak Democrat,Not Sure,Female,25-34,African American
991,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,0,Education,No quote,No issue,Strong Republican,Very Conservative,Female,35-44,Hispanic
992,NA,NA,NA,NA,NA,NA,NA,NA,3,1,--------31,6,Terrorism,No quote,3rd issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
993,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,0,Social security,No quote,No issue,Lean Republican,Moderate,Male,65 or over,White/Caucasian
994,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,5,Social security,We win,Top issue,Strong Democrat,Liberal,Female,25-34,White/Caucasian
995,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,4,Social security,They lose,Top issue,Strong Republican,Moderate,Female,65 or over,White/Caucasian
996,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,5,National security,We win,Top issue,Strong Republican,Moderate,Female,35-44,White/Caucasian
997,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,5,Health care,We win,Top issue,Weak Republican,Conservative,Male,55-64,White/Caucasian
998,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,7,Health care,They lose,3rd issue,Independent,Moderate,Male,35-44,Hispanic
999,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,0,Jobs,No quote,No issue,Weak Democrat,Very Liberal,Female,25-34,White/Caucasian
1000,NA,NA,1,NA,3,NA,NA,NA,NA,NA,--1-3-----,3,Education,No quote,Top issue,Strong Democrat,Moderate,Female,45-54,African American
1001,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,0,Terrorism,No quote,No issue,Strong Republican,Very Conservative,Female,65 or over,White/Caucasian
1002,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,8,Health care,We win,3rd issue,Lean Democrat,Liberal,Female,35-44,White/Caucasian
1003,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,1,Crime,They lose,No issue,Weak Democrat,Moderate,Female,65 or over,White/Caucasian
1004,NA,NA,NA,NA,NA,NA,NA,3,1,NA,-------31-,7,Social security,They lose,3rd issue,Independent,Moderate,Male,65 or over,White/Caucasian
1005,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,5,Education,We win,Top issue,Independent,Moderate,Female,65 or over,White/Caucasian
1006,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Jobs,No quote,No issue,Lean Republican,Conservative,Male,25-34,White/Caucasian
1007,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,8,Crime,We win,3rd issue,Strong Republican,Very Conservative,Female,25-34,White/Caucasian
1008,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,8,Jobs,We win,3rd issue,Independent,Not Sure,Male,55-64,African American
1009,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,5,Health care,We win,Top issue,Not sure,Moderate,Male,35-44,White/Caucasian
1010,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,2,National security,We win,No issue,Lean Republican,Moderate,Female,65 or over,White/Caucasian
1011,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,0,Crime,No quote,No issue,Lean Democrat,Liberal,Female,18-24,African American
1012,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,2,Jobs,We win,No issue,Strong Republican,Conservative,Male,35-44,White/Caucasian
1013,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,5,Health care,We win,Top issue,Lean Republican,Moderate,Female,18-24,White/Caucasian
1014,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,6,Environment,No quote,3rd issue,Lean Republican,Conservative,Female,35-44,White/Caucasian
1015,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,7,National security,They lose,3rd issue,Lean Republican,Moderate,Male,25-34,White/Caucasian
1016,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,6,Jobs,No quote,3rd issue,Weak Democrat,Liberal,Female,18-24,Hispanic
1017,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,7,Drug addiction,They lose,3rd issue,Strong Republican,Conservative,Female,65 or over,White/Caucasian
1018,NA,NA,1,NA,NA,NA,NA,NA,NA,3,--1------3,8,Environment,We win,3rd issue,Weak Republican,Not Sure,Female,18-24,White/Caucasian
1019,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,0,Social security,No quote,No issue,Independent,Moderate,Female,65 or over,White/Caucasian
1020,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,4,Jobs,They lose,Top issue,Strong Republican,Conservative,Male,55-64,Asian
1021,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,7,Health care,They lose,3rd issue,Independent,Liberal,Female,45-54,White/Caucasian
1022,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,2,Environment,We win,No issue,Strong Democrat,Liberal,Female,35-44,African American
1023,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,6,Social security,No quote,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
1024,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,8,Terrorism,We win,3rd issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1025,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,3,National security,No quote,Top issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
1026,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,2,Jobs,We win,No issue,Strong Republican,Conservative,Female,18-24,White/Caucasian
1027,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,6,Social security,No quote,3rd issue,Strong Democrat,Conservative,Female,55-64,White/Caucasian
1028,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Strong Democrat,Very Liberal,Female,55-64,African American
1029,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,1,Jobs,They lose,No issue,Strong Democrat,Moderate,Female,35-44,White/Caucasian
1030,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,7,Education,They lose,3rd issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1031,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,2,Health care,We win,No issue,Lean Republican,Moderate,Female,65 or over,White/Caucasian
1032,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,7,Drug addiction,They lose,3rd issue,Independent,Liberal,Female,18-24,White/Caucasian
1033,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,6,Social security,No quote,3rd issue,Strong Democrat,Very Conservative,Male,35-44,White/Caucasian
1034,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,6,Education,No quote,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
1035,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,6,Terrorism,No quote,3rd issue,Strong Republican,Very Conservative,Male,55-64,White/Caucasian
1036,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,2,Immigration,We win,No issue,Lean Democrat,Moderate,Female,35-44,Asian
1037,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,6,Health care,No quote,3rd issue,Strong Republican,Moderate,Female,65 or over,White/Caucasian
1038,NA,NA,NA,NA,NA,NA,NA,3,1,NA,-------31-,2,Social security,We win,No issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
1039,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,6,Immigration,No quote,3rd issue,Weak Republican,Not Sure,Female,55-64,White/Caucasian
1040,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,1,Social security,They lose,No issue,Strong Democrat,Very Liberal,Male,35-44,White/Caucasian
1041,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,6,Environment,No quote,3rd issue,Strong Democrat,Liberal,Male,65 or over,White/Caucasian
1042,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,8,Health care,We win,3rd issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1043,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,7,Drug addiction,They lose,3rd issue,Strong Republican,Conservative,Male,65 or over,White/Caucasian
1044,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,8,National security,We win,3rd issue,Independent,Moderate,Male,65 or over,White/Caucasian
1045,NA,NA,NA,3,NA,NA,1,NA,NA,NA,---3--1---,2,Drug addiction,We win,No issue,Strong Republican,Very Conservative,Female,25-34,White/Caucasian
1046,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,1,Health care,They lose,No issue,Lean Democrat,Moderate,Female,55-64,White/Caucasian
1047,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,1,Immigration,They lose,No issue,Independent,Moderate,Female,55-64,White/Caucasian
1048,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Jobs,They lose,No issue,Weak Democrat,Liberal,Female,55-64,Native American
1049,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,2,National security,We win,No issue,Independent,Moderate,Male,55-64,White/Caucasian
1050,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,2,Social security,We win,No issue,Lean Republican,Conservative,Female,55-64,White/Caucasian
1051,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,8,Environment,We win,3rd issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
1052,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,8,Health care,We win,3rd issue,Independent,Moderate,Male,55-64,White/Caucasian
1053,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,0,National security,No quote,No issue,Strong Democrat,Not Sure,Male,65 or over,African American
1054,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,2,Health care,We win,No issue,Lean Democrat,Not Sure,Prefer not to say,25-34,White/Caucasian
1055,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,6,Jobs,No quote,3rd issue,Strong Democrat,Very Liberal,Female,25-34,White/Caucasian
1056,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,8,Terrorism,We win,3rd issue,Lean Democrat,Very Liberal,Female,45-54,White/Caucasian
1057,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Lean Democrat,Liberal,Female,18-24,Hispanic
1058,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,0,National security,No quote,No issue,Weak Republican,Conservative,Female,25-34,White/Caucasian
1059,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,3,Jobs,No quote,Top issue,Weak Democrat,Liberal,Female,25-34,White/Caucasian
1060,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,3,Crime,No quote,Top issue,Strong Republican,Conservative,Male,35-44,White/Caucasian
1061,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,7,Immigration,They lose,3rd issue,Independent,Moderate,Female,65 or over,White/Caucasian
1062,NA,NA,NA,NA,NA,NA,3,1,NA,NA,------31--,4,Social security,They lose,Top issue,Weak Democrat,Conservative,Female,65 or over,White/Caucasian
1063,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,8,Education,We win,3rd issue,Strong Republican,Conservative,Female,65 or over,White/Caucasian
1064,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,7,Environment,They lose,3rd issue,Strong Democrat,Moderate,Female,45-54,White/Caucasian
