unit,begich,bye,palin,peltola,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
122,4,3,1,2,4312,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
123,3,2,1,4,3214,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
124,3,4,2,1,3421,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
125,NA,NA,NA,1,---1,0,39,Female,White,Democrat,Bachelor's degree,Likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
126,4,2,1,3,4213,0,81,Male,White,Republican,Some college but no degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
127,NA,2,NA,1,-2-1,0,35,Female,White,Democrat,Some college but no degree,Unlikely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
128,1,3,2,4,1324,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
129,1,3,4,2,1342,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
130,1,4,3,2,1432,0,68,Female,White,Independent,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
131,4,2,3,1,4231,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
132,3,1,4,2,3142,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
133,3,1,2,4,3124,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
134,2,4,3,1,2431,0,65,Male,White,Independent,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
135,3,1,2,4,3124,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
136,NA,NA,1,NA,--1-,0,48,Female,Other,Republican,Professional school degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
137,4,2,3,1,4231,0,40,Male,American Indian and Alaska Native,Democrat,Some college but no degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
138,4,2,3,1,4231,0,32,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
139,1,4,3,2,1432,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
140,1,3,2,4,1324,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
141,3,2,4,1,3241,0,57,Female,White,Democrat,High school diploma or equivalent,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
142,4,1,3,2,4132,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
143,2,1,3,4,2134,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
144,3,4,1,2,3412,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
145,1,2,4,3,1243,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
146,3,2,4,1,3241,0,40,Male,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
147,3,1,4,2,3142,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
148,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
149,2,3,1,NA,231-,0,44,Female,White,Republican,Some college but no degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
150,3,2,1,4,3214,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
151,2,3,4,1,2341,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
152,2,3,1,4,2314,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
153,1,2,3,4,1234,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
154,NA,NA,1,NA,--1-,0,71,Female,White,Republican,High school diploma or equivalent,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
155,1,2,4,3,1243,0,23,Male,White,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
156,4,3,2,1,4321,0,40,Male,White,Democrat,Associate degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
157,3,NA,2,1,3-21,0,56,Female,White,Democrat,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
158,2,3,4,1,2341,0,39,Female,White,Democrat,High school diploma or equivalent,Very unlikely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
159,2,3,NA,1,23-1,0,23,Female,Asian and Pacific Islanders,Democrat,Some college but no degree,Likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
160,2,1,4,3,2143,0,24,Female,White,Democrat,High school diploma or equivalent,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
161,1,3,2,4,1324,0,30,Female,White,Independent,Professional school degree,Unlikely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
162,3,2,4,1,3241,0,63,Female,White,Independent,Associate degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
163,2,NA,NA,1,2--1,0,64,Female,White,Other Party,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
164,3,4,1,2,3412,0,31,Female,White,Independent,Less than high school diploma,Other,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
165,3,2,NA,1,32-1,0,76,Female,White,Democrat,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
166,1,3,2,4,1324,0,37,Female,White,Independent,Associate degree,Likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
167,1,4,2,3,1423,0,50,Female,Black or African American,Republican,Bachelor's degree,Unlikely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
168,3,1,2,NA,312-,0,87,Female,White,Republican,High school diploma or equivalent,Very unlikely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
169,2,NA,1,NA,2-1-,0,39,Female,White,Independent,Some college but no degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
170,1,NA,NA,NA,1---,0,75,Female,White,Republican,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
171,1,2,NA,3,12-3,0,29,Female,White,Republican,Some college but no degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
172,2,1,4,3,2143,0,31,Female,White,Democrat,High school diploma or equivalent,Very unlikely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
173,NA,NA,NA,1,---1,0,66,Female,White,Independent,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
174,4,1,3,2,4132,0,39,Male,White,Republican,Associate degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
175,1,2,4,3,1243,0,18,Female,White,Independent,Associate degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
176,4,3,2,1,4321,0,27,Male,White,Independent,Some college but no degree,Likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
177,3,2,4,1,3241,0,29,Female,White,Republican,Less than high school diploma,Very unlikely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
178,2,NA,1,NA,2-1-,0,77,Male,White,Other Party,Master's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
179,4,1,3,2,4132,0,47,Female,White,Independent,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
180,3,1,4,2,3142,0,24,Male,White,Independent,High school diploma or equivalent,Very unlikely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
181,1,3,2,4,1324,0,20,Female,White,Other Party,High school diploma or equivalent,Unlikely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
182,3,2,1,4,3214,0,22,Male,American Indian and Alaska Native,Independent,Some college but no degree,Unlikely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
183,4,2,3,1,4231,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
184,2,1,4,3,2143,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
185,2,1,4,3,2143,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
186,3,4,1,2,3412,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
187,2,1,3,4,2134,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
188,1,4,3,2,1432,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
189,3,1,2,4,3124,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
190,4,3,2,1,4321,0,23,Male,White,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
191,1,3,2,4,1324,0,18,Male,Black or African American,Independent,High school diploma or equivalent,Other,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
192,1,2,4,3,1243,0,23,Male,Black or African American,Republican,Bachelor's degree,Very unlikely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
193,3,4,2,1,3421,0,31,Male,White,Democrat,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
194,4,1,2,3,4123,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
195,2,1,4,3,2143,0,26,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
196,1,2,3,4,1234,0,23,Male,White,Republican,Master's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
197,1,3,2,4,1324,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
198,3,4,1,2,3412,0,26,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
199,2,1,3,4,2134,0,23,Male,Latino or Hispanic,Democrat,Associate degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
200,3,4,2,1,3421,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
201,3,1,2,4,3124,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
202,3,1,2,4,3124,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
203,4,3,1,2,4312,0,31,Male,White,Democrat,Master's degree,Very unlikely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
204,3,2,1,4,3214,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
205,1,NA,2,NA,1-2-,0,24,Female,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
206,2,1,3,4,2134,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
207,2,3,4,1,2341,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
208,2,1,3,4,2134,0,23,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
209,1,3,NA,2,13-2,0,27,Female,Black or African American,Republican,High school diploma or equivalent,Likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
210,1,3,2,4,1324,0,39,Male,American Indian and Alaska Native,Independent,Some college but no degree,Unlikely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
211,2,3,4,1,2341,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
212,3,2,1,4,3214,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
213,3,4,2,1,3421,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
214,3,2,1,4,3214,0,23,Male,White,Republican,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
215,2,1,3,4,2134,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
216,2,4,1,3,2413,0,62,Male,American Indian and Alaska Native,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
217,3,1,2,4,3124,0,30,Female,White,Other Party,Some college but no degree,Other,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
218,2,3,1,4,2314,0,22,Female,White,Republican,High school diploma or equivalent,Likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
219,2,4,1,3,2413,0,82,Female,White,Republican,Some college but no degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
220,NA,NA,NA,1,---1,0,37,Female,White,Democrat,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
221,NA,NA,NA,1,---1,0,36,Female,White,Democrat,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
222,NA,NA,1,NA,--1-,0,47,Female,Black or African American,Independent,Some college but no degree,Other,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
223,3,2,1,4,3214,0,32,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,I already voted using Vote-by-Mail,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
224,2,3,NA,1,23-1,0,60,Female,White,Democrat,High school diploma or equivalent,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
225,2,4,3,1,2431,0,38,Female,White,Democrat,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
226,4,1,3,2,4132,0,24,Female,White,Other Party,Some college but no degree,Very unlikely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
227,2,NA,1,NA,2-1-,0,36,Female,White,Republican,High school diploma or equivalent,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
228,2,1,4,3,2143,0,29,Female,White,Independent,Bachelor's degree,Likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
229,2,3,4,1,2341,0,63,Female,American Indian and Alaska Native,Republican,Some college but no degree,Unlikely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
230,2,3,4,1,2341,0,29,Female,White,Democrat,Some college but no degree,Likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
231,2,3,4,1,2341,0,42,Female,White,Democrat,Bachelor's degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
232,NA,NA,NA,1,---1,0,32,Female,Other,Independent,Master's degree,Likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
233,3,2,NA,1,32-1,0,55,Female,White,Independent,Master's degree,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
234,3,2,1,4,3214,0,47,Female,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
235,2,1,3,4,2134,0,43,Female,White,Republican,Associate degree,Likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
236,1,3,4,2,1342,0,63,Female,White,Republican,Some college but no degree,Likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
237,3,NA,1,2,3-12,0,36,Female,White,Republican,High school diploma or equivalent,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
238,NA,2,NA,1,-2-1,0,29,Female,White,Independent,High school diploma or equivalent,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
239,2,1,3,NA,213-,0,32,Male,White,Republican,Master's degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
240,2,3,NA,1,23-1,0,65,Female,White,Other Party,Associate degree,Likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
241,1,NA,NA,NA,1---,0,46,Male,White,Independent,High school diploma or equivalent,Likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)
242,4,3,1,2,4312,0,40,Female,White,Republican,Some college but no degree,Likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
243,3,1,4,2,3142,0,36,Male,White,Democrat,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)
